x,y
0.031,1.5694617391462267
0.037,1.4971645719236544
0.04,1.2971767428165828
0.043000000000000003,1.4190381436056971
0.05,1.622226545216198
0.07200000000000001,1.4886847149690945
0.085,1.1858174575121008
0.089,1.368487090113427
0.097,1.5249213449824925
0.098,1.6940400335924601
0.101,1.8556276649936692
0.12,1.4017684351809394
0.132,1.3288666147866783
0.132,1.3288666147866783
0.146,1.6946067615745322
0.154,1.5111056468367974
0.165,1.6195704222514986
0.169,1.6013668189207273
0.17400000000000002,1.5535806731200066
0.192,1.5302974593363379
0.199,1.583743128809225
0.20400000000000001,1.377540424244991
0.20500000000000002,1.8542200713835735
0.216,1.511007106813118
0.23800000000000002,1.4547825816086142
0.258,1.5208135267826683
0.268,1.8521062914941904
0.274,1.7216165039464137
0.279,1.658122328207803
0.28800000000000003,1.4444954685230211
0.313,1.3945869657507217
0.313,1.3945869657507217
0.319,1.7224226158708937
0.324,1.7728790558266114
0.34,1.648060204598207
0.34500000000000003,1.6224115401643755
0.35000000000000003,2.086950172684556
0.35100000000000003,1.3239583050587282
0.35100000000000003,1.3239583050587282
0.367,1.9439510769899224
0.382,1.7963338322676212
0.399,1.9199908202216556
0.405,1.9506345052740588
0.423,1.5585463778651623
0.443,2.062199755263674
0.444,1.9117220557512273
0.444,1.9117220557512273
0.445,1.639428017130153
0.449,1.9708556483428104
0.467,1.9246279492818699
0.495,1.9344875648927489
0.5,2.0053203104293362
0.507,1.6739792618285005
0.507,1.6739792618285005
0.51,1.63564714635635
0.512,1.6731520437239342
0.519,1.942290614952772
0.522,1.9233922992510448
0.525,1.792448836487448
0.532,1.9440177259504627
0.532,1.9440177259504627
0.534,1.6558569856653074
0.5630000000000001,1.5845333943592208
0.591,1.9573738492961905
0.6,1.763996041559406
0.641,2.063379656831698
0.643,1.7901037015982397
0.647,1.6882747717410946
0.654,2.199183880128485
0.659,2.3350681824992052
0.681,1.9159111722402404
0.716,2.033873002181796
0.72,2.740280808753193
0.721,1.844971333857216
0.723,1.7744582043506354
0.727,1.8515780390888223
0.732,1.9603709955125548
0.735,1.9541357950680256
0.764,2.1677159506862025
0.771,2.1817423407930483
0.776,2.060244565310906
0.778,1.6652467416041805
0.792,2.3522801421388766
0.798,2.0436795704844664
0.801,2.1860363708567427
0.805,1.8524080824651943
0.84,2.204867792461076
0.844,2.3462078242871516
0.846,2.1994405841680935
0.847,1.9249790499225583
0.89,1.9526720607220491
0.893,1.7736266307403554
0.898,2.3627159747308992
0.903,2.1350011429673486
0.922,2.385205371819005
0.9470000000000001,2.2141371011845905
0.963,1.9548740394929365
0.967,2.2745572760558823
0.97,2.21636279105573
0.983,2.512943341899206
0.995,2.171626531630206
1.01,1.974414339561274
1.0210000000000001,1.9803172222439729
1.039,2.642826847265717
1.05,2.2909179915311024
1.068,2.231917643817259
1.071,2.247726753671067
1.077,2.4995294479052035
1.099,2.1590931793563115
1.099,2.1590931793563115
1.122,2.1717011469441685
1.123,2.103828681979904
1.133,2.1164965394617905
1.163,2.222379691689363
1.17,2.535882411539027
1.2,2.4791131628969056
1.201,2.32709724330467
1.209,2.3000586572252035
1.213,2.361692795684632
1.219,2.2662546594084163
1.224,2.689150488798858
1.237,2.6998195755397996
1.237,2.6998195755397996
1.245,2.4454611082486535
1.2530000000000001,2.32690285133913
1.26,2.648214027207161
1.274,3.052373926581706
1.288,2.453622661389052
1.311,2.362794006898194
1.317,3.1308669651530905
1.322,2.8401402459222695
1.322,2.8401402459222695
1.329,2.922642408375389
1.347,2.7802063914705446
1.363,2.345832886330259
1.37,2.84985360082978
1.377,2.5593993331496985
1.391,2.7271563816334927
1.3960000000000001,2.3362901041209376
1.403,2.400107671213324
1.4040000000000001,2.8598825678779063
1.421,2.6109716538999943
1.438,2.7336461479146177
1.438,2.7336461479146177
1.446,2.324682588337108
1.449,3.4995683438127174
1.458,2.8505050378727765
1.468,2.599598294903752
1.469,2.646610541165782
1.473,2.949035591958534
1.485,3.012560762685491
1.487,2.80470210378911
1.491,2.768342950781253
1.496,2.91480505493982
1.5070000000000001,2.690153400554335
1.5170000000000001,2.4744405749136944
1.5190000000000001,2.761765575054504
1.52,3.021426840295398
1.5230000000000001,2.7256514417234903
1.568,2.4910357825287934
1.572,3.131073388885991
1.587,2.821643340711532
1.591,3.0671135844821404
1.597,2.9109705541654356
1.611,2.75735807083753
1.6260000000000001,2.6055855701520723
1.6480000000000001,3.1471784594998615
1.6540000000000001,3.287081831273332
1.657,3.0733007225278666
1.676,2.912139791483617
1.682,2.8179592178068136
1.694,3.2828951508194435
1.702,3.5700002593978413
1.715,3.1631234284103393
1.724,3.270789953633298
1.737,3.0245373015896826
1.747,3.4506503294037123
1.7530000000000001,3.182639399521214
1.754,2.8299462964208137
1.78,2.7844245425004153
1.794,2.507599980413972
1.798,2.691519776150718
1.812,2.8376494365155778
1.838,2.9772056300146748
1.852,3.0656452465856026
1.853,2.661362983739906
1.854,3.170647277499418
1.856,3.134182753440183
1.858,2.9755000965194367
1.87,3.5033587676011435
1.879,2.3923894577208427
1.881,3.095199010399566
1.8840000000000001,2.7955055529900976
1.895,3.035355273709971
1.899,3.0393504006784884
1.899,3.0393504006784884
1.926,2.8459303664441937
1.943,3.284896293447083
1.967,3.4498072616817272
1.977,3.6832849512197154
1.99,3.125361458029838
1.993,3.4136029696627133
2.0060000000000002,3.726301741958895
2.016,3.0988626670724857
2.037,3.2824829896325585
2.059,3.6190265136087953
2.081,3.3700394899695794
2.123,3.551264053120157
2.141,3.8150645370259513
2.156,3.3154488439339307
2.157,3.5099731334092565
2.168,3.656549810945547
2.178,2.991049652237967
2.186,4.118120810143266
2.187,3.3441656884664894
2.206,4.0443023907248525
2.233,3.1313219386043403
2.24,3.650530298301433
2.247,3.7090472823120897
2.255,3.5209006023023064
2.2760000000000002,3.176363848810036
2.281,3.145097629132646
2.283,3.1687333783665492
2.287,3.7690232668821877
2.291,4.513950817186797
2.297,3.622405000322348
2.303,4.477335617684152
2.311,3.882910396477212
2.312,4.239010419533966
2.343,3.375677485256998
2.38,3.938411467630471
2.412,4.456453770205138
2.42,3.4673274475912517
2.4290000000000003,4.120909711687454
2.432,4.120625804792373
2.438,3.625430592893706
2.441,3.8630422045626065
2.447,3.5567193601025844
2.454,3.7886528911323256
2.455,3.9856500441477847
2.463,4.240630253950628
2.465,4.364456092423108
2.466,3.7994381749951227
2.476,4.204514975504059
2.485,4.253369446115992
2.504,3.905352856316633
2.5100000000000002,4.200493599390533
2.523,4.476782501153865
2.535,3.9454530172981386
2.544,3.4416261772807815
2.545,4.556375403179494
2.548,3.3849324490822075
2.549,3.5965671514286686
2.5500000000000003,4.751945094007983
2.556,4.213341923173006
2.559,4.16249504708843
2.573,4.108149711114354
2.597,4.2219868619108
2.601,4.985610455968712
2.617,4.14494580898387
2.624,4.42706811615568
2.629,3.8221378978304243
2.6310000000000002,4.813433122800782
2.638,4.103269997742041
2.642,3.6813173171623013
2.648,4.574433068417865
2.657,5.397342350039668
2.666,4.177568947482029
2.678,3.955802066713012
2.692,4.811300170199492
2.704,4.472504309184203
2.732,4.559751722631305
2.747,4.267658732830024
2.754,4.897241899028491
2.758,4.8522629766972285
2.79,4.729708878911177
2.79,4.729708878911177
2.793,5.022385696668248
2.807,4.465315568962741
2.81,4.9993062175252145
2.822,3.9670942751522835
2.832,4.59513354138069
2.852,4.508566884927524
2.869,4.411715979125766
2.871,4.938988705435949
2.873,4.95123647276323
2.906,4.593740184050603
2.907,4.135121665549559
2.924,4.886425900959348
2.936,4.658895180358708
2.947,4.985283097917266
2.947,4.985283097917266
2.966,4.523187606451744
2.975,5.177513525731845
2.984,5.233099136072006
3.0060000000000002,4.41507688210763
3.012,5.690978981004294
3.0140000000000002,5.868012094931294
3.016,3.564528604730207
3.028,5.312685590906368
3.036,5.4706072715995635
3.037,4.4745745451749945
3.047,5.302883997354572
3.0500000000000003,5.551400982260143
3.053,4.70182342019935
3.065,4.9710143696224
3.074,4.123409068247479
3.076,5.1218806017566445
3.083,5.2380294235559495
3.083,5.2380294235559495
3.085,4.194108548556396
3.087,4.228433824183068
3.092,4.15196839230875
3.106,4.9148700086299675
3.109,4.740583272564931
3.11,4.958759690333802
3.111,5.586894606029868
3.118,5.083310012893932
3.12,4.363438887864822
3.12,4.363438887864822
3.122,3.8545422936989913
3.142,5.7755160308306035
3.1430000000000002,5.021768204095595
3.144,4.614509728833863
3.152,5.876320629093646
3.154,5.513563083413162
3.177,4.737558469708445
3.1870000000000003,4.377745116344496
3.19,4.911250938819899
3.194,6.069521600706093
3.204,5.214667191102797
3.242,4.6907058875448495
3.245,6.276440081866504
3.2680000000000002,5.023074720748904
3.281,4.843579520698068
3.299,5.544303564449173
3.307,4.828864663024276
3.314,5.595549885366947
3.329,5.632271817097341
3.33,5.076480058187512
3.335,5.599208703523228
3.337,6.264644043327074
3.349,5.297967934451324
3.35,6.946161512259614
3.351,5.702948697371198
3.38,5.216209204185818
3.39,6.350591571652198
3.402,5.30415695933831
3.4050000000000002,6.147854759294668
3.408,5.804761969106924
3.423,5.207013160676251
3.44,6.027560406480219
3.46,6.031900405436412
3.469,5.419288603129727
3.478,5.4556899529037235
3.482,7.480901069046982
3.486,5.124226524754696
3.498,7.370541009814133
3.499,6.240843580309784
3.5020000000000002,5.180162833423403
3.515,5.777342153965082
3.532,6.129597773838211
3.54,6.051939365824454
3.5540000000000003,7.0431462369194175
3.565,6.126546046150267
3.568,5.641420126003944
3.5700000000000003,5.662845033932431
3.571,5.916924132855417
3.575,6.615964395509917
3.581,5.840995200149228
3.587,5.500165461079612
3.598,7.01575350590694
3.615,6.758520290124854
3.622,5.649410269040853
3.644,4.864411177244108
3.649,6.963454773403747
3.678,7.418689150313801
3.678,7.418689150313801
3.681,5.64028430440428
3.69,6.579926458193706
3.716,7.102459663552237
3.749,6.5897187129953565
3.751,7.267506925128732
3.762,7.215904772195248
3.7640000000000002,5.839357373595045
3.786,6.181307091311392
3.806,5.99768718987987
3.841,6.9778005628433615
3.851,7.229958588209917
3.852,6.650250644994357
3.855,7.396985704641509
3.857,5.934941816553239
3.883,6.196223806178832
3.8850000000000002,7.532231837496547
3.904,6.953342842200738
3.9050000000000002,8.162249839375761
3.906,7.32743941145166
3.907,7.1591178754813765
3.9170000000000003,8.079957805024893
3.92,6.673755965954678
3.932,7.928760967950974
3.94,8.2866315770166
3.942,6.9828602976717615
3.9450000000000003,7.219408731999433
3.95,8.019679401729801
3.955,7.170142830619258
3.967,6.218832072434218
3.971,7.7126459180678735
3.974,7.776831224975865
3.98,8.677921165128193
3.986,8.271710984713517
3.987,7.102048606694737
3.987,7.102048606694737
3.988,6.949763048979598
3.991,7.23368049548931
4.008,8.459154544869302
4.011,6.420555160686309
4.017,6.373857577143504
4.0280000000000005,7.867169292460682
4.031,8.827667245577853
4.04,7.2533156630188325
4.0520000000000005,6.4907195360293
